Date,Open,High,Low,Close,Adj Close,Volume
23/01/20,2209.800049,2217.75,2183.699951,2190.949951,2025.444702,2069866
24/01/20,2190.949951,2190.949951,2170,2183.399902,2018.465088,1319430
27/01/20,2189.699951,2193.449951,2165,2169.25,2005.384155,1549101
28/01/20,2174,2187.800049,2152,2183.75,2018.78894,1743024
29/01/20,2185,2186.949951,2150,2154.600098,1991.84082,2306761
30/01/20,2160,2165,2125,2137.850098,1976.356567,2098567
31/01/20,2139.399902,2144.350098,2071.600098,2079.050049,1921.997681,3287223
03/02/20,2152,2194.699951,2093.199951,2102.5,1943.676147,4728073
04/02/20,2129,2136.699951,2086.600098,2107.75,1948.529541,3509339
05/02/20,2115,2156.699951,2104.300049,2146.550049,1984.398682,2439322
06/02/20,2145,2174.199951,2115.5,2128.350098,1967.573608,2640065
07/02/20,2139,2151,2119,2136.550049,1975.154053,2083442
10/02/20,2140.899902,2167,2119,2161.949951,1998.635376,2383032
11/02/20,2163,2174.800049,2147.600098,2153.399902,1990.731567,1335820
12/02/20,2151.100098,2185,2150,2170.75,2006.771118,1620407
13/02/20,2172.949951,2197,2171,2191.949951,2026.369507,1645948
14/02/20,2188,2212,2171,2184.199951,2019.20459,1500115
17/02/20,2196.949951,2217,2190.199951,2203.25,2036.815918,1774724
18/02/20,2199.949951,2221,2186.050049,2215.75,2048.371582,2486223
19/02/20,2215.75,2230,2190.5,2196.350098,2030.436768,1760463
20/02/20,2204.5,2214.399902,2151.25,2156.800049,1993.87439,2317278
24/02/20,2156,2178.949951,2106.699951,2115.350098,1955.555786,3092877
25/02/20,2115.5,2176.649902,2111,2156.149902,1993.273438,2674567
26/02/20,2154,2163.899902,2112.949951,2123.600098,1963.182617,2686842
27/02/20,2119.949951,2119.949951,2086.199951,2105.5,1946.449829,2349001
28/02/20,2068,2069.5,1990,2000.150024,1849.058228,4298076
02/03/20,2035,2053.949951,1985.699951,2001.300049,1850.120972,2667076
03/03/20,2020,2060,2012,2036.199951,1882.384766,2757585
04/03/20,2056,2094.449951,2025,2083.199951,1925.834229,3237002
05/03/20,2085.699951,2147.75,2084.050049,2125.050049,1964.523193,3937056
06/03/20,2098,2123.649902,2071.600098,2116.449951,1956.572632,2595027
09/03/20,2075,2079.899902,1935,1972.349976,1823.35791,4940975
11/03/20,1933,1987.300049,1920,1953.699951,1806.116821,6796449
12/03/20,1904,1908.400024,1758.349976,1769.849976,1636.154785,8728786
13/03/20,1687.900024,1820,1506.050049,1806.300049,1669.851685,8029720
16/03/20,1755,1842.25,1675.849976,1696.400024,1568.253418,7844271
17/03/20,1730,1731,1623.150024,1658,1532.754028,5713248
18/03/20,1676.800049,1713.550049,1627.75,1654.400024,1529.426147,7258778
19/03/20,1559.699951,1685.449951,1546.75,1636.349976,1523.792358,5135111
20/03/20,1630,1869,1627,1797.449951,1673.810669,8547498
23/03/20,1620,1750,1617.75,1669.699951,1554.848267,7003490
24/03/20,1653.050049,1770,1632.849976,1703.150024,1585.997314,6350865
25/03/20,1700,1810,1680,1750.300049,1629.904175,2765520
26/03/20,1831.599976,1832.050049,1722.550049,1790.949951,1667.758057,4556067
27/03/20,1820,1850,1750.400024,1824.5,1699,4331250
30/03/20,1766,1905,1763.550049,1778.5,1656.164429,8513547
31/03/20,1837.400024,1855,1780,1826.099976,1700.490112,3927593
01/04/20,1825.900024,1834.75,1702,1708.75,1591.212158,4941878
03/04/20,1740,1740,1650,1654.199951,1540.414063,5735369
07/04/20,1710,1785.849976,1705,1775.199951,1653.091309,5427577
08/04/20,1760,1806,1701,1705.449951,1588.139282,6285615
09/04/20,1750.449951,1778.800049,1731.199951,1766.150024,1644.663818,5307397
13/04/20,1761,1787,1746,1759.25,1638.238403,2990438
15/04/20,1785,1812,1727.800049,1735.150024,1615.796143,4761399
16/04/20,1709.949951,1764.900024,1675.050049,1716.050049,1598.01001,6245533
17/04/20,1800,1851.949951,1753,1806.199951,1681.958984,9895823
20/04/20,1830,1830,1802.5,1818.650024,1693.552612,3244282
21/04/20,1765,1794.599976,1727.699951,1737.650024,1618.124268,5122541
22/04/20,1737.650024,1790,1719.150024,1769.5,1647.783325,3829836
23/04/20,1780,1900,1760.849976,1878.25,1749.052856,5934366
24/04/20,1840.699951,1851.949951,1807.800049,1818.550049,1693.459595,2987102
27/04/20,1832.300049,1875,1825,1836.599976,1710.2677,3374741
28/04/20,1865,1868,1832.599976,1859.050049,1731.173584,2678505
29/04/20,1874,1912.550049,1850.050049,1905.650024,1774.568359,4241510
30/04/20,1980,2032,1942.199951,2014.449951,1875.884155,5915544
04/05/20,1966,1966,1913.650024,1930.449951,1797.662109,3729348
05/05/20,1955.099976,1977,1927,1932.75,1799.803955,2905528
06/05/20,1939.800049,1953.699951,1893.599976,1903.599976,1772.65918,3517431
07/05/20,1910,1934.449951,1883.349976,1891.650024,1761.53125,3166754
08/05/20,1939.099976,1939.5,1886.25,1893.400024,1763.160889,2686530
11/05/20,1909,1951.400024,1909,1935.300049,1802.178711,2449841
12/05/20,1933.400024,1956.5,1910.25,1949.5,1815.4021,3256595
13/05/20,1994,1994,1925.650024,1949.650024,1815.541748,2656665
14/05/20,1910,1923.099976,1891.099976,1902.349976,1771.495117,2263146
15/05/20,1916,1917.400024,1865.199951,1892.900024,1762.695313,3173682
18/05/20,1907,1952.949951,1872.099976,1945.599976,1811.770142,3727694
19/05/20,1903,1966.449951,1903,1948.650024,1814.610596,3198693
20/05/20,1950,1962.900024,1931.699951,1953.599976,1819.219727,2778505
21/05/20,1946,1998,1941.150024,1991.199951,1854.233643,3400908
22/05/20,1977.099976,2032,1961.25,2020.349976,1881.378784,3663418
26/05/20,2015,2024,1925,1943,1809.348999,4575317
27/05/20,1959,2010,1941.25,2005.300049,1867.363525,3482160
28/05/20,1988.5,2014,1971.300049,2004.300049,1866.432495,3475681
29/05/20,1982,2002.650024,1962.400024,1972.349976,1836.680054,7237735
01/06/20,1990,2060,1981.099976,2045.25,1904.565674,3747773
02/06/20,2060.199951,2081,2040.050049,2047.150024,1906.335083,2443886
03/06/20,2051.850098,2063.75,2020,2046.150024,1911.004761,3699799
